Activity_Date,Plate,Site,Matched_Cycle_h,Matched_Origin_Wait_h,Matched_Dest_Wait_h,Matched_Travel_h,Unmatched_Origin_h,Unmatched_Dest_h,Adjusted_Origin_Wait_h,Adjusted_Dest_Wait_h,Combined_h(AdjustedWait+Travel),Gap_vs_24_h
2026-05-29,71-8009,BigC,19.32,12.75,2.68,3.9,0,0,12.75,2.68,19.32,4.68
2026-05-29,72-1217,LCB,17.35,7.33,8.38,1.63,0,0,7.33,8.38,17.35,6.65
2026-05-30,71-5042,BigC,11.92,3.66,6.14,2.13,0,0,3.66,6.14,11.92,12.08
2026-05-30,71-8002,BigC,23.52,4.75,7.66,11.11,0,0,4.75,7.66,23.52,0.48
2026-05-30,71-8003,BigC,11.07,6.13,3.05,1.89,0.53,0,6.65,3.05,11.6,12.4
2026-05-30,71-8009,BigC,15.05,6.97,5.11,2.97,0,0,6.97,5.11,15.05,8.95
2026-05-30,72-1217,LCB,32.17,9.98,18.74,3.44,0,0,9.98,18.74,32.17,-8.17
2026-05-31,71-5042,BigC,20.31,12.79,3.44,4.07,0,0,12.79,3.44,20.31,3.69
2026-05-31,71-8002,BigC,9.97,5.63,2.79,1.55,13.11,0,18.73,2.79,23.07,0.93
2026-05-31,71-8003,BigC,0,0,0,0,0.61,0,0.61,0,0.61,23.39
2026-05-31,71-8009,BigC,15.44,12.56,1.08,1.79,0,0,12.56,1.08,15.44,8.56
2026-05-31,72-1217,LCB,3.77,1.38,0.6,1.8,5.35,0,6.72,0.6,9.12,14.88
